idDetalle,idVenta,idProducto,nombreProducto,cantidad,precioUnitario,descuentoAplicado,subtotal,total
1,1,M-001,Cemento Portland,1,240.0,0.0,240.0,240.0
2,2,M-002,Varilla 3/8 Grado 40,1,180.0,10.0,180.0,162.0
3,3,M-005,Impermeabilizante 19L,1,850.0,0.0,850.0,850.0
4,3,M-003,Block de 15x20x40,10,15.5,0.0,155.0,155.0
5,3,M-007,Arena fina (m3),1,400.0,0.0,400.0,400.0
6,4,M-001,Cemento Portland,2,240.0,5.0,480.0,456.0
7,4,M-008,Grava 3/4 (m3),1,420.0,0.0,420.0,420.0
8,5,M-004,Madera pino 2x4,5,120.0,0.0,600.0,600.0
9,5,M-006,Tubo PVC 4 hidráulico,2,160.0,0.0,320.0,320.0
10,6,M001,Cemento Portland,1,240.0,0.0,240.0,240.0
11,6,M002,Varilla 3/8 Grado 40,3,180.0,0.0,540.0,540.0
12,6,M003,Block de 15x20x40,1,15.5,0.0,15.5,15.5
13,6,M004,Madera pino 2x4,1,120.0,0.0,120.0,120.0
14,7,M002,Varilla 3/8 Grado 40,137,180.0,0.0,24660.0,24660.0
15,8,M001,Cemento Portland,199,240.0,0.0,47760.0,47760.0
16,9,M003,Block de 15x20x40,50,15.5,0.0,775.0,775.0
17,10,M005,Impermeabilizante 19L,10,850.0,0.0,8500.0,8500.0
18,11,M006,Tubo PVC 4 hidráulico,2,160.0,0.0,320.0,320.0
19,12,M008,Grava 3/4 (m3),1,420.0,0.0,420.0,420.0
20,13,M004,Madera pino 2x4,1,120.0,0.0,120.0,120.0
21,14,M005,Impermeabilizante 19L,1,850.0,0.0,850.0,850.0
22,15,M003,Block de 15x20x40,1,15.5,0.0,15.5,15.5
